Nickname,Stadium,Year,CF_Dim
White Sox,Comiskey Park I,1936,440
White Sox,Comiskey Park I,1934,436
White Sox,Comiskey Park I,1930,450
White Sox,Comiskey Park I,1927,455
White Sox,Comiskey Park I,1926,450
Yankees,New Yankee Stadium,2009,408
Yankees,Yankee Stadium I,1988,408
Yankees,Yankee Stadium I,1985,410
Yankees,Yankee Stadium I,1976,417
Yankees,Shea Stadium,1974,410
Yankees,Yankee Stadium I,1937,449
Yankees,Yankee Stadium I,1924,470
Yankees,Yankee Stadium I,1923,487
Yankees,Polo Grounds,1913,433
Yankees,Hilltop Park,1911,370
Yankees,Hilltop Park,1907,409
Yankees,Hilltop Park,1904,420
Yankees,Hilltop Park,1903,380
